,w(nm),Rdry_um,RH_%,wp_%,Rwet_um,N,iK
3502,870.0,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.4179,0.01732
3503,870.0,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.42001,0.013669999999999998
3504,870.0,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.42001,0.013669999999999998
3505,870.0,0.0063002,95.0,15.0,0.013866114866903955,1.42001,0.013669999999999998
3506,870.0,0.0063002,99.0,15.0,0.013866114866903955,1.42001,0.013669999999999998
3507,1000.0,0.0063002,0.0,99.0,0.0063002,1.33259,0.0
3508,1000.0,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.37965,0.01137
3509,1000.0,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.4179,0.01732
3510,1000.0,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.42001,0.013669999999999998
3511,1000.0,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.42001,0.013669999999999998
3512,1000.0,0.0063002,95.0,15.0,0.013866114866903955,1.42001,0.013669999999999998
3513,1000.0,0.0063002,99.0,15.0,0.013866114866903955,1.42001,0.013669999999999998
3514,1020.0,0.0063002,0.0,99.0,0.0063002,1.33259,0.0
3515,1020.0,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.37965,0.01137
3516,1020.0,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.4179,0.01732
3517,1020.0,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.42001,0.013669999999999998
3518,1020.0,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.42001,0.013669999999999998
3519,1020.0,0.0063002,95.0,15.0,0.013866114866903955,1.42001,0.013669999999999998
3520,1020.0,0.0063002,99.0,15.0,0.013866114866903955,1.42001,0.013669999999999998
3521,55555.6,0.0063002,0.0,99.0,0.0063002,1.1684,0.25825
3522,55555.6,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.73426,0.38591
3523,55555.6,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.8354599999999999,0.47823999999999994
3524,55555.6,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.8123099999999999,0.37651999999999997
3525,55555.6,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.8123099999999999,0.37651999999999997
3526,55555.6,0.0063002,95.0,15.0,0.013866114866903955,1.8123099999999999,0.37651999999999997
3527,55555.6,0.0063002,99.0,15.0,0.013866114866903955,1.8123099999999999,0.37651999999999997
3528,23529.4,0.0063002,0.0,99.0,0.0063002,1.1684,0.25825
3529,23529.4,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.7348700000000001,0.39474000000000004
3530,23529.4,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.81303,0.49368
3531,23529.4,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.7925799999999998,0.3944
