,Rdry_um,RH_%,wp_%,Rwet_um
101,0.0100009,80.0,25.4691462236212,0.017978371986635502
102,0.0100009,90.0,17.952167849327296,0.020575896037166145
103,0.0100009,95.0,15.0,0.022010988249963455
104,0.0100009,99.0,15.0,0.022010988249963455
105,0.0126003,0.0,99.0,0.0126003
106,0.0126003,50.0,39.84258087455865,0.018885683697874668
107,0.0126003,70.0,30.549615354778165,0.021068796390993873
108,0.0126003,80.0,25.4691462236212,0.022651249441870563
109,0.0126003,90.0,17.952167849327296,0.02592391313152862
110,0.0126003,95.0,15.0,0.027732009643733516
111,0.0126003,99.0,15.0,0.027732009643733516
112,0.0158754,0.0,99.0,0.0158754
113,0.0158754,50.0,39.84258087455865,0.023794495605441102
114,0.0158754,70.0,30.549615354778165,0.026545048151677672
115,0.0158754,80.0,25.4691462236212,0.02853881617020801
116,0.0158754,90.0,17.952167849327296,0.03266211840418637
117,0.0158754,95.0,15.0,0.034940179670176666
118,0.0158754,99.0,15.0,0.034940179670176666
119,0.0200018,0.0,99.0,0.0200018
120,0.0200018,50.0,39.84258087455865,0.029979259873824396
121,0.0200018,70.0,30.549615354778165,0.03344474747850299
122,0.0200018,80.0,25.4691462236212,0.035956743973271005
123,0.0200018,90.0,17.952167849327296,0.04115179207433229
124,0.0200018,95.0,15.0,0.0440219764999269
125,0.0200018,99.0,15.0,0.0440219764999269
126,0.0252006,0.0,99.0,0.0252006
127,0.0252006,50.0,39.84258087455865,0.037771367395749336
128,0.0252006,70.0,30.549615354778165,0.04213759278198775
129,0.0252006,80.0,25.4691462236212,0.045302498883741125
130,0.0252006,90.0,17.952167849327296,0.05184782626305724
131,0.0252006,95.0,15.0,0.055464019287467026
132,0.0252006,99.0,15.0,0.055464019287467026
133,0.0317508,0.0,99.0,0.0317508
134,0.0317508,50.0,39.84258087455865,0.047588991210882205
135,0.0317508,70.0,30.549615354778165,0.05309009630335534
136,0.0317508,80.0,25.4691462236212,0.05707763234041602
137,0.0317508,90.0,17.952167849327296,0.06532423680837274
138,0.0317508,95.0,15.0,0.06988035934035333
139,0.0317508,99.0,15.0,0.06988035934035333
140,0.0400035,0.0,99.0,0.0400035
141,0.0400035,50.0,39.84258087455865,0.059958369864838865
142,0.0400035,70.0,30.549615354778165,0.06688932774831736
143,0.0400035,80.0,25.4691462236212,0.07191330817900121
144,0.0400035,90.0,17.952167849327296,0.08230337840822084
145,0.0400035,95.0,15.0,0.0880437329097794
146,0.0400035,99.0,15.0,0.0880437329097794
147,0.0504013,0.0,99.0,0.0504013
148,0.0504013,50.0,39.84258087455865,0.07554288467430859
149,0.0504013,70.0,30.549615354778165,0.08427535277266411
150,0.0504013,80.0,25.4691462236212,0.09060517753502305
151,0.0504013,90.0,17.952167849327296,0.10369585826655822
152,0.0504013,95.0,15.0,0.11092825866500845
153,0.0504013,99.0,15.0,0.11092825866500845
154,0.0635016,0.0,99.0,0.0635016
155,0.0635016,50.0,39.84258087455865,0.09517798242176441
156,0.0635016,70.0,30.549615354778165,0.10618019260671067
157,0.0635016,80.0,25.4691462236212,0.11415526468083202
158,0.0635016,90.0,17.952167849327296,0.13064847361674548
159,0.0635016,95.0,15.0,0.13976071868070666
160,0.0635016,99.0,15.0,0.13976071868070666
161,0.080007,0.0,99.0,0.080007
162,0.080007,50.0,39.84258087455865,0.11991673972967773
163,0.080007,70.0,30.549615354778165,0.1337786554966347
164,0.080007,80.0,25.4691462236212,0.14382661635800242
165,0.080007,90.0,17.952167849327296,0.16460675681644166
166,0.080007,95.0,15.0,0.1760874658195588
167,0.080007,99.0,15.0,0.1760874658195588
168,0.1008026,0.0,99.0,0.1008026
169,0.1008026,50.0,39.84258087455865,0.15108576934861717
170,0.1008026,70.0,30.549615354778165,0.16855070554532822
