 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK RgDry  RgWet      Sg        Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
   55.6   50  1.6630  0.284E+00  0.089  0.118    0.60  0.0127  0.990  0.227  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
   23.5   50  1.6596  0.240E+00  0.089  0.118    0.60  0.0257  0.990  0.227  0.001  0.008  1.000  0.024  0.500  0.004  0.000  0.000  0.000  0.000
   17.7   50  1.5819  0.359E+00  0.089  0.118    0.60  0.0543  0.990  0.227  0.002  0.013  1.000  0.040  0.501  0.007  0.000  0.000  0.000  0.000
   15.0   50  1.3838  0.335E+00  0.089  0.118    0.60  0.0694  0.990  0.227  0.001  0.017  1.000  0.050  0.501  0.010  0.000  0.000  0.000  0.000
   13.2   50  1.3430  0.275E+00  0.089  0.118    0.60  0.0670  0.990  0.227  0.002  0.021  1.000  0.063  0.502  0.013  0.000  0.000  0.000  0.000
   11.1   50  1.3450  0.241E+00  0.089  0.118    0.60  0.0700  0.990  0.227  0.003  0.029  1.000  0.088  0.504  0.018  0.001  0.000  0.000  0.000
    9.7   50  1.4557  0.295E+00  0.089  0.118    0.60  0.0915  0.990  0.227  0.007  0.040  1.000  0.119  0.506  0.023  0.001  0.000  0.000  0.000
    8.8   50  1.3928  0.280E+00  0.089  0.118    0.60  0.0998  0.990  0.227  0.007  0.045  1.000  0.135  0.509  0.028  0.002  0.000  0.000  0.000
    7.8   50  1.2406  0.173E+00  0.089  0.118    0.60  0.0772  0.990  0.227  0.006  0.053  1.000  0.159  0.512  0.036  0.003  0.000  0.000  0.000
    7.0   50  1.2906  0.631E-01  0.089  0.118    0.60  0.0312  0.990  0.227  0.023  0.067  1.000  0.202  0.520  0.045  0.004  0.000  0.000  0.000
    6.1   50  1.3559  0.131E+00  0.089  0.118    0.60  0.0719  0.990  0.227  0.026  0.086  1.000  0.259  0.530  0.056  0.006  0.001  0.000  0.000
    5.2   50  1.3318  0.513E-01  0.089  0.118    0.60  0.0363  0.990  0.227  0.076  0.114  1.000  0.342  0.552  0.078  0.011  0.002  0.000  0.000
    4.6   50  1.3484  0.517E-01  0.089  0.118    0.60  0.0422  0.990  0.227  0.107  0.137  1.000  0.410  0.573  0.096  0.016  0.003  0.001  0.000
    4.3   50  1.3538  0.504E-01  0.089  0.118    0.60  0.0454  0.990  0.227  0.131  0.151  1.000  0.454  0.588  0.108  0.020  0.004  0.001  0.000
    4.0   50  1.3622  0.480E-01  0.089  0.118    0.60  0.0487  0.990  0.227  0.165  0.169  1.000  0.508  0.608  0.124  0.025  0.005  0.001  0.000
    3.4   50  1.3941  0.689E-01  0.089  0.118    0.60  0.0856  0.990  0.227  0.193  0.213  1.000  0.640  0.662  0.166  0.040  0.010  0.003  0.001
    3.4   50  1.3926  0.668E-01  0.089  0.118    0.60  0.0824  0.990  0.227  0.194  0.211  1.000  0.633  0.659  0.163  0.039  0.010  0.003  0.001
    2.8   50  1.2890  0.162E+00  0.089  0.118    0.60  0.2264  0.990  0.227  0.091  0.254  1.000  0.762  0.733  0.236  0.070  0.021  0.007  0.002
    2.3   50  1.3070  0.294E-01  0.089  0.118    0.60  0.0834  0.990  0.227  0.426  0.333  1.000  0.999  0.892  0.356  0.132  0.048  0.019  0.007
    2.0   50  1.3314  0.264E-02  0.089  0.118    0.60  0.0680  0.990  0.227  0.925  0.386  1.000  1.157  1.018  0.455  0.192  0.077  0.033  0.014
    1.8   50  1.3412  0.901E-03  0.089  0.118    0.60  0.1027  0.990  0.227  0.980  0.439  1.000  1.317  1.164  0.583  0.273  0.120  0.055  0.025
    1.5   50  1.3511  0.321E-03  0.089  0.118    0.60  0.1864  0.990  0.227  0.995  0.513  1.000  1.540  1.405  0.812  0.436  0.216  0.110  0.054
    1.3   50  1.3546  0.500E-04  0.089  0.118    0.60  0.2688  0.990  0.227  0.999  0.560  1.000  1.680  1.586  0.998  0.581  0.310  0.167  0.088
    0.9   50  1.3623  0.524E-05  0.089  0.118    0.60  0.5589  0.990  0.227  1.000  0.647  1.000  1.941  2.001  1.477  0.996  0.613  0.374  0.220
    0.7   50  1.3660  0.264E-07  0.089  0.118    0.60  1.0399  0.990  0.227  1.000  0.714  1.000  2.141  2.419  2.037  1.553  1.084  0.735  0.482
    0.5   50  1.3684  0.384E-08  0.089  0.118    0.60  1.6076  0.990  0.227  1.000  0.753  1.000  2.259  2.735  2.515  2.095  1.603  1.180  0.845
    0.4   50  1.3750  0.477E-08  0.089  0.118    0.60  2.2431  0.990  0.227  1.000  0.774  1.000  2.321  2.960  2.893  2.582  2.128  1.683  1.302
    0.3   50  1.3855  0.958E-08  0.089  0.118    0.60  2.6467  0.990  0.227  1.000  0.775  1.000  2.324  3.041  3.046  2.827  2.429  2.008  1.637
    0.2   50  1.4079  0.267E-07  0.089  0.118    0.60  2.9746  0.990  0.227  1.000  0.754  1.000  2.263  3.064  3.120  3.101  2.845  2.568  2.308
    7.1   50  1.2833  0.716E-01  0.089  0.118    0.60  0.0348  0.990  0.227  0.018  0.065  1.000  0.196  0.518  0.043  0.004  0.000  0.000  0.000
    0.3   70  1.3800  0.144E-07  0.089  0.129    0.60  2.8446  0.990  0.248  1.000  0.779  1.000  2.338  3.133  3.217  3.096  2.768  2.392  2.045
    0.4   70  1.3650  0.397E-08  0.089  0.129    0.60  2.3617  0.990  0.248  1.000  0.784  1.000  2.352  3.054  3.054  2.791  2.360  1.914  1.521
